Letra	Condición	Definición	Respuesta	Tema	Nivel	Idioma
A	Empieza por	Película de Disney sobre una princesa árabe y un genio atrapado en una lámpara mágica.	Aladdin	Cine y TV	Fácil	ES
A	Empieza por	Película de James Cameron sobre seres azules en el planeta Pandora.	Avatar	Cine y TV	Fácil	ES
A	Empieza por	Película de Marvel con los superhéroes más poderosos del universo reunidos por primera vez.	Avengers	Cine y TV	Fácil	ES
A	Empieza por	Película de Ridley Scott sobre extraterrestres peligrosos en una nave espacial.	Alien	Cine y TV	Medio	ES
A	Empieza por	Película francesa sobre una joven soñadora que ayuda a los demás en el barrio de Montmartre.	Amélie	Cine y TV	Medio	ES
A	Empieza por	Película de Ben Affleck sobre el rescate de rehenes en Irán que ganó el Óscar a mejor película.	Argo	Cine y TV	Medio	ES
A	Empieza por	Película de Francis Ford Coppola sobre el horror y la locura de la guerra en Vietnam.	Apocalypse Now	Cine y TV	Difícil	ES
A	Empieza por	Película de Woody Allen ganadora del Óscar a mejor película y mejor director en 1977.	Annie Hall	Cine y TV	Difícil	ES
A	Empieza por	Director mexicano ganador de tres Oscars conocido por Gravity y Roma.	Alfonso Cuarón	Cine y TV	Difícil	ES
B	Empieza por	Superhéroe de DC Comics que viste de negro y tiene como enemigo principal al Joker.	Batman	Cine y TV	Fácil	ES
B	Empieza por	Película animada de Disney sobre un cervatillo que pierde a su madre en el bosque.	Bambi	Cine y TV	Fácil	ES
B	Empieza por	Película de Tim Burton sobre un fantasma travieso que hace el caos en una mansión.	Beetlejuice	Cine y TV	Fácil	ES
B	Empieza por	Película épica de Mel Gibson sobre la lucha del pueblo escocés por su independencia.	Braveheart	Cine y TV	Medio	ES
B	Empieza por	Película de ciencia ficción de Ridley Scott ambientada en un futuro distópico con replicantes.	Blade Runner	Cine y TV	Medio	ES
B	Empieza por	Película animada de Pixar sobre una colonia de insectos que lucha contra los saltamontes.	Bichos	Cine y TV	Medio	ES
B	Empieza por	Película épica de 1959 de William Wyler que ganó once premios Óscar.	Ben-Hur	Cine y TV	Difícil	ES
B	Empieza por	Película de Richard Linklater filmada durante doce años con los mismos actores.	Boyhood	Cine y TV	Difícil	ES
B	Empieza por	Película de Lars von Trier sobre una bailarina que lucha por conservar la vista.	Bailando en la oscuridad	Cine y TV	Difícil	ES
C	Empieza por	Película animada de Pixar sobre el Día de Muertos y la música mexicana.	Coco	Cine y TV	Fácil	ES
C	Empieza por	Película animada de Pixar sobre un coche de carreras que aprende el valor de la amistad.	Cars	Cine y TV	Fácil	ES
C	Empieza por	Superhéroe de Marvel con un escudo con los colores de la bandera americana.	Capitán América	Cine y TV	Fácil	ES
C	Empieza por	Película de 1942 protagonizada por Humphrey Bogart e Ingrid Bergman en el norte de África.	Casablanca	Cine y TV	Medio	ES
C	Empieza por	Película de terror de Brian De Palma sobre una joven con poderes telequinéticos.	Carrie	Cine y TV	Medio	ES
C	Empieza por	Película de terror de James Wan sobre dos investigadores paranormales y una familia aterrorizada.	Conjuro	Cine y TV	Medio	ES
C	Empieza por	Película de Roman Polanski sobre un detective privado en el Los Ángeles de los años cuarenta.	Chinatown	Cine y TV	Difícil	ES
C	Empieza por	Película italiana de Giuseppe Tornatore sobre el amor de un niño por el cine en un pueblo de Sicilia.	Cinema Paradiso	Cine y TV	Difícil	ES
C	Empieza por	Película de Orson Welles de 1941 considerada por muchos la mejor película de la historia del cine.	Ciudadano Kane	Cine y TV	Difícil	ES
D	Empieza por	Película animada de Disney sobre un elefante que puede volar gracias a sus enormes orejas.	Dumbo	Cine y TV	Fácil	ES
D	Empieza por	Película de Marvel sobre un superhéroe mercenario con humor irreverente y poderes de regeneración.	Deadpool	Cine y TV	Fácil	ES
D	Empieza por	Serie animada sobre una niña exploradora que va a todas partes con su mochila y su mono Botas.	Dora	Cine y TV	Fácil	ES
