Letra,Condición,Definición,Respuesta,Tema,Nivel
A,Empieza,Conjunto de tres o más notas que suenan simultáneamente.,Acorde,Música,Fácil
A,Empieza,Aparato que sirve para poner en el tono correcto un instrumento.,Afinador,Música,Fácil
B,Empieza,Agrupación musical formada principalmente por instrumentos de viento y percusión.,Banda,Música,Fácil
B,Empieza,"Instrumento de percusión formado por una caja, bombos y platillos.",Batería,Música,Fácil
C,Empieza,Persona que hace música utilizando su propia voz.,Cantante,Música,Fácil
C,Empieza,Agrupación de personas que cantan simultáneamente una misma pieza.,Coro,Música,Fácil
D,Empieza,Persona que guía y coordina a los músicos de una orquesta.,Director,Música,Fácil
D,Empieza,"Soporte físico, como el vinilo o el CD, donde se graba música.",Disco,Música,Fácil
E,Empieza,Lugar físico y elevado donde actúan los músicos en un concierto.,Escenario,Música,Fácil
E,Empieza,Parte de una canción que más se repite y que suele ser la más pegadiza.,Estribillo,Música,Fácil
F,Empieza,Evento donde actúan varios grupos o artistas durante uno o varios días.,Festival,Música,Fácil
F,Empieza,Instrumento de viento con forma de tubo que se toca soplando por un extremo o por un lateral.,Flauta,Música,Fácil
G,Empieza,Viaje de un artista o grupo por distintas ciudades para dar conciertos.,Gira,Música,Fácil
G,Empieza,"Instrumento de cuerda pulsada, muy popular, que suele tener seis cuerdas.",Guitarra,Música,Fácil
H,Empieza,"Subgénero del rock muy intenso y ruidoso, conocido como ""... metal"".",Heavy,Música,Fácil
H,Empieza,"Composición solemne que representa a un país, región o equipo.",Himno,Música,Fácil
I,Empieza,Objeto diseñado y utilizado específicamente para producir música.,Instrumento,Música,Fácil
I,Empieza,Persona que toca un instrumento musical o canta en un escenario.,Intérprete,Música,Fácil
J,Empieza,"Género musical nacido en EE. UU., muy conocido por usar el saxofón y la improvisación.",Jazz,Música,Fácil
J,Empieza,"Baile y canto tradicional muy popular en varias regiones de España, como Aragón.",Jota,Música,Fácil
K,Empieza,Diversión que consiste en cantar leyendo la letra sobre una pista musical pregrabada.,Karaoke,Música,Fácil
K,Empieza,"Género de música pop originario de Corea del Sur, famoso por sus coreografías.",K-pop,Música,Fácil
L,Empieza,Tempo musical que indica una velocidad pausada y tranquila.,Lento,Música,Fácil
L,Empieza,Texto o palabras que acompañan a la música de una canción.,Letra,Música,Fácil
M,Empieza,Aparato electrónico que sirve para amplificar la voz del cantante.,Micrófono,Música,Fácil
M,Empieza,Persona que se dedica profesionalmente a componer o tocar música.,Músico,Música,Fácil
N,Empieza,Canción de cuna suave y relajante para que se duerman los bebés.,Nana,Música,Fácil
N,Empieza,"Signo gráfico que representa un sonido musical, como Do, Re o Mi.",Nota,Música,Fácil
