Letra	Condición	Definición	Respuesta	Tema	Nivel	Idioma
A	Empieza por	Rey macedonio que conquistó el mayor imperio de la antigüedad llegando hasta la India.	Alejandro Magno	Historia	Fácil	ES
A	Empieza por	Pueblo indígena que dominó México central antes de la llegada de los españoles.	Aztecas	Historia	Fácil	ES
A	Empieza por	Palacio y fortaleza nazarí construido en Granada en el siglo XIV, joya del arte islámico.	Alhambra	Historia	Fácil	ES
A	Empieza por	Flota enviada por Felipe II en 1588 para invadir Inglaterra que fue derrotada por las tormentas.	Armada Invencible	Historia	Medio	ES
A	Empieza por	Campo de concentración y exterminio nazi en Polonia, símbolo del Holocausto.	Auschwitz	Historia	Medio	ES
A	Empieza por	Ciudad-estado griega considerada la cuna de la democracia y la filosofía occidental.	Atenas	Historia	Medio	ES
A	Empieza por	Rey de los hunos llamado el azote de Dios que aterrorizó Europa en el siglo V.	Atila	Historia	Difícil	ES
A	Empieza por	Ciudad egipcia fundada por Alejandro Magno que fue el mayor centro cultural del mundo antiguo.	Alejandría	Historia	Difícil	ES
A	Empieza por	General cartaginés que cruzó los Alpes con elefantes para invadir Roma en el siglo III a.C.	Aníbal	Historia	Difícil	ES
B	Empieza por	Libertador sudamericano que independizó Venezuela, Colombia, Ecuador, Perú y Bolivia.	Bolívar	Historia	Fácil	ES
B	Empieza por	Ciudad alemana dividida por un muro durante la Guerra Fría cuya caída en 1989 simbolizó el fin del comunismo.	Berlín	Historia	Fácil	ES
B	Empieza por	Prisión símbolo del absolutismo francés cuya toma en 1789 inició la Revolución Francesa.	Bastilla	Historia	Fácil	ES
B	Empieza por	Canciller alemán que unificó Alemania en 1871 mediante la política del hierro y la sangre.	Bismarck	Historia	Medio	ES
B	Empieza por	Ciudad y civilización de Mesopotamia conocida por sus jardines colgantes y la torre de Babel.	Babilonia	Historia	Medio	ES
B	Empieza por	Imperio heredero de Roma Oriental con capital en Constantinopla que duró hasta 1453.	Bizancio	Historia	Medio	ES
B	Empieza por	Familia italiana del Renacimiento conocida por su ambición política y su crueldad.	Borgia	Historia	Difícil	ES
B	Empieza por	Batalla de 1815 en Bélgica donde Wellington y Blücher derrotaron definitivamente a Napoleón.	Batalla de Waterloo	Historia	Difícil	ES
B	Empieza por	Tratado de paz de 1918 que puso fin a la participación de Rusia en la Primera Guerra Mundial.	Brest-Litovsk	Historia	Difícil	ES
C	Empieza por	Navegante genovés que llegó a América en 1492 al servicio de los Reyes Católicos.	Colón	Historia	Fácil	ES
C	Empieza por	Reina del antiguo Egipto, última faraona de la dinastía ptolemaica.	Cleopatra	Historia	Fácil	ES
C	Empieza por	Anfiteatro romano construido en el siglo I donde se celebraban luchas de gladiadores.	Coliseo	Historia	Fácil	ES
C	Empieza por	Rey franco coronado emperador de Occidente en el año 800, conocido como el padre de Europa.	Carlomagno	Historia	Medio	ES
C	Empieza por	Expediciones militares organizadas por la Iglesia en los siglos XI al XIII para conquistar Tierra Santa.	Cruzadas	Historia	Medio	ES
C	Empieza por	Capital del Imperio Bizantino conquistada por los otomanos en 1453, hoy llamada Estambul.	Constantinopla	Historia	Medio	ES
C	Empieza por	Dictador romano asesinado en los Idus de Marzo del año 44 a.C. por sus propios senadores.	César	Historia	Difícil	ES
C	Empieza por	Astrónomo polaco del siglo XVI que propuso que la Tierra giraba alrededor del Sol.	Copérnico	Historia	Difícil	ES
C	Empieza por	Ciudad norteafricana fundada por los fenicios que fue la gran rival de Roma hasta ser arrasada.	Cartago	Historia	Difícil	ES
D	Empieza por	Sistema político en el que el poder reside en el pueblo, nacido en la antigua Grecia.	Democracia	Historia	Fácil	ES
D	Empieza por	Hecho histórico de 1492 en el que España llegó a América abriendo una nueva era mundial.	Descubrimiento de América	Historia	Fácil	ES
D	Empieza por	Régimen político en el que una sola persona gobierna con poder absoluto sin límites legales.	Dictadura	Historia	Fácil	ES
D	Empieza por	Corsario inglés que fue el primer compatriota en circunnavegar el globo en el siglo XVI.	Drake	Historia	Medio	ES
D	Empieza por	Ciudad alemana devastada por los bombardeos aliados en febrero de 1945.	Dresde	Historia	Medio	ES
D	Empieza por	Emperador romano que dividió el Imperio en dos partes en el año 285 para facilitar su gobierno.	Diocleciano	Historia	Medio	ES
D	Empieza por	Líder de la Revolución Francesa que presidió el Comité de Salvación Pública durante el Terror.	Danton	Historia	Difícil	ES
D	Empieza por	Levantamiento popular del 2 de mayo de 1808 en Madrid contra la ocupación napoleónica.	Dos de Mayo	Historia	Difícil	ES
D	Empieza por	Período de la prehistoria caracterizado por el trabajo de los metales antes del hierro.	Edad del Bronce	Historia	Difícil	ES
E	Empieza por	Civilización del norte de África que construyó las pirámides y desarrolló la escritura jeroglífica.	Egipto	Historia	Fácil	ES
E	Empieza por	Sistema de trabajo forzado abolido en EEUU en 1865 tras la Guerra de Secesión.	Esclavitud	Historia	Fácil	ES
E	Empieza por	Período histórico comprendido entre los siglos V y XV caracterizado por el feudalismo.	Edad Media	Historia	Fácil	ES
E	Empieza por	Esclavo tracio que lideró la mayor rebelión de esclavos de la historia romana.	Espartaco	Historia	Medio	ES
E	Empieza por	Ciudad-estado griega cuyo ejército se destacó por su extrema disciplina y entrenamiento militar.	Esparta	Historia	Medio	ES
E	Empieza por	Período anterior a la historia caracterizado por herramientas de piedra tallada o pulida.	Edad de Piedra	Historia	Medio	ES
E	Empieza por	Movimiento intelectual del siglo XVIII que defendió la razón y los derechos del hombre frente a la superstición.	Enciclopedismo	Historia	Difícil	ES
E	Empieza por	Proceso de expansión de las potencias europeas sobre África y Asia en el siglo XIX.	Expansión colonial	Historia	Difícil	ES
E	Empieza por	Conflicto entre Atenas y Persia en el siglo V a.C. que incluyó las batallas de Maratón y Salamina.	Enfrentamiento greco-persa	Historia	Difícil	ES
F	Empieza por	Título dado al gobernante del antiguo Egipto, considerado dios en la Tierra.	Faraón	Historia	Fácil	ES
F	Empieza por	Rey español del siglo XVI que gobernó el mayor imperio del mundo, llamado el Prudente.	Felipe II	Historia	Fácil	ES
F	Empieza por	Dictador español que gobernó el país desde el fin de la Guerra Civil hasta su muerte en 1975.	Franco	Historia	Fácil	ES
F	Empieza por	Sistema político y económico de la Edad Media basado en la relación entre señores y vasallos.	Feudalismo	Historia	Medio	ES
F	Empieza por	Revolución política y social ocurrida en Francia a partir de 1789 que acabó con el Antiguo Régimen.	Francesa	Historia	Medio	ES
F	Empieza por	Rey de Macedonia y padre de Alejandro Magno que unificó los estados griegos.	Filipo II	Historia	Medio	ES
F	Empieza por	Ciudad italiana cuna del Renacimiento donde gobernaron los Médici y nació el humanismo.	Florencia	Historia	Difícil	ES
