Letra	Condición	Definición	Respuesta	Tema	Nivel	Idioma
A	Empieza por	Conjunto de tres o más notas que suenan simultáneamente.	Acorde	Música	Fácil	ES
A	Empieza por	Aparato que sirve para poner en el tono correcto un instrumento.	Afinador	Música	Fácil	ES
B	Empieza por	Agrupación musical formada principalmente por instrumentos de viento y percusión.	Banda	Música	Fácil	ES
B	Empieza por	Instrumento de percusión formado por una caja, bombos y platillos.	Batería	Música	Fácil	ES
C	Empieza por	Persona que hace música utilizando su propia voz.	Cantante	Música	Fácil	ES
C	Empieza por	Agrupación de personas que cantan simultáneamente una misma pieza.	Coro	Música	Fácil	ES
D	Empieza por	Persona que guía y coordina a los músicos de una orquesta.	Director	Música	Fácil	ES
D	Empieza por	Soporte físico, como el vinilo o el CD, donde se graba música.	Disco	Música	Fácil	ES
E	Empieza por	Lugar físico y elevado donde actúan los músicos en un concierto.	Escenario	Música	Fácil	ES
E	Empieza por	Parte de una canción que más se repite y que suele ser la más pegadiza.	Estribillo	Música	Fácil	ES
F	Empieza por	Evento donde actúan varios grupos o artistas durante uno o varios días.	Festival	Música	Fácil	ES
F	Empieza por	Instrumento de viento con forma de tubo que se toca soplando por un extremo o por un lateral.	Flauta	Música	Fácil	ES
G	Empieza por	Viaje de un artista o grupo por distintas ciudades para dar conciertos.	Gira	Música	Fácil	ES
G	Empieza por	Instrumento de cuerda pulsada, muy popular, que suele tener seis cuerdas.	Guitarra	Música	Fácil	ES
H	Empieza por	Subgénero del rock muy intenso y ruidoso, conocido como "... metal".	Heavy	Música	Fácil	ES
H	Empieza por	Composición solemne que representa a un país, región o equipo.	Himno	Música	Fácil	ES
I	Empieza por	Objeto diseñado y utilizado específicamente para producir música.	Instrumento	Música	Fácil	ES
I	Empieza por	Persona que toca un instrumento musical o canta en un escenario.	Intérprete	Música	Fácil	ES
J	Empieza por	Género musical nacido en EE. UU., muy conocido por usar el saxofón y la improvisación.	Jazz	Música	Fácil	ES
J	Empieza por	Baile y canto tradicional muy popular en varias regiones de España, como Aragón.	Jota	Música	Fácil	ES
K	Empieza por	Diversión que consiste en cantar leyendo la letra sobre una pista musical pregrabada.	Karaoke	Música	Fácil	ES
K	Empieza por	Género de música pop originario de Corea del Sur, famoso por sus coreografías.	K-pop	Música	Fácil	ES
L	Empieza por	Tempo musical que indica una velocidad pausada y tranquila.	Lento	Música	Fácil	ES
L	Empieza por	Texto o palabras que acompañan a la música de una canción.	Letra	Música	Fácil	ES
M	Empieza por	Aparato electrónico que sirve para amplificar la voz del cantante.	Micrófono	Música	Fácil	ES
M	Empieza por	Persona que se dedica profesionalmente a componer o tocar música.	Músico	Música	Fácil	ES
N	Empieza por	Canción de cuna suave y relajante para que se duerman los bebés.	Nana	Música	Fácil	ES
N	Empieza por	Signo gráfico que representa un sonido musical, como Do, Re o Mi.	Nota	Música	Fácil	ES
Ñ	Contiene la	Parte musical que sirve de fondo y apoyo a la melodía principal.	Acompañamiento	Música	Fácil	ES
Ñ	Contiene la	Instrumento de percusión de madera, que se toca con los dedos, típico del folclore español.	Castañuelas	Música	Fácil	ES
O	Empieza por	Obra teatral clásica donde los actores cantan sus papeles en lugar de hablarlos.	Ópera	Música	Fácil	ES
O	Empieza por	Conjunto numeroso de músicos que tocan juntos instrumentos de cuerda, viento y percusión.	Orquesta	Música	Fácil	ES
P	Empieza por	Texto de una composición musical escrito sobre un pentagrama.	Partitura	Música	Fácil	ES
P	Empieza por	Instrumento de teclado con cuerdas golpeadas en su interior.	Piano	Música	Fácil	ES
Q	Contiene la	Persona a la que le gusta mucho escuchar o tocar música rock.	Roquero	Música	Fácil	ES
Q	Contiene la	Acción de hacer sonar un instrumento, como el "... de campanas".	Toque	Música	Fácil	ES
R	Empieza por	Orden y proporción de los sonidos en el tiempo; el pulso de la canción.	Ritmo	Música	Fácil	ES
R	Empieza por	Género musical al que pertenecen bandas legendarias como The Beatles o Queen.	Rock	Música	Fácil	ES
S	Empieza por	Composición musical extensa y compleja escrita para ser tocada por una orquesta.	Sinfonía	Música	Fácil	ES
S	Empieza por	Músico o cantante que actúa solo o tiene el papel principal en una pieza.	Solista	Música	Fácil	ES
T	Empieza por	Instrumento de percusión cilíndrico que se golpea con palillos o baquetas.	Tambor	Música	Fácil	ES
T	Empieza por	Instrumento de viento metal que suele tener tres pistones.	Trompeta	Música	Fácil	ES
U	Empieza por	Instrumento de cuerda similar a una guitarra pequeña, típico de la música hawaiana.	Ukelele	Música	Fácil	ES
U	Empieza por	Efecto que se produce cuando varias voces o instrumentos suenan exactamente en la misma nota.	Unísono	Música	Fácil	ES
